index,gate,up,gpu,ref,flagged
121800,-0x1.834142p-125,0x1.77c84ap-1,-0x1.1c39c8p-126,-0x1.1c39cap-126,1
121811,0x1.42fde2p-112,0x1.54645cp-2,0x1.ad77d2p-115,0x1.ad77dp-115,1
121818,0x1.2d2ad6p-109,-0x1.536bb2p-1,-0x1.8f4e6ep-111,-0x1.8f4e6cp-111,1
121827,-0x1.eb7ccp-131,-0x1.48cfc2p-5,0x0p+0,0x1.3bap-136,0
121828,-0x1.ec77p-133,0x1.bccab6p+0,-0x0p+0,-0x1.abd3p-133,0
121833,-0x1.f821b2p-115,-0x1.e89198p-2,0x1.e10f76p-117,0x1.e10f78p-117,1
121835,0x1.bba63p-129,-0x1.20bcdap+1,-0x0p+0,-0x1.f4625p-129,0
121836,0x1.6a2faep-105,-0x1.9756d8p+0,-0x1.202658p-105,-0x1.202656p-105,1
121839,0x1.3a8996p-107,0x1.7ad34ap+0,0x1.d172c4p-108,0x1.d172c2p-108,1
121853,-0x1.8acd92p-110,-0x1.40584p-1,0x1.ee090ep-112,0x1.ee091p-112,1
121856,0x1.5bf5cp-131,-0x1.787e4p-2,-0x0p+0,-0x1.ffbcp-134,0
121864,0x1.46c43ap-112,-0x1.606362p+0,-0x1.c1ccaep-113,-0x1.c1ccaap-113,1
121868,0x1.02d60ap-116,-0x1.dde9d6p-1,-0x1.e33542p-118,-0x1.e3353ep-118,1
121887,-0x1.4552p-130,-0x1.e4ddb6p+0,0x0p+0,0x1.34146p-130,0
121903,-0x1.8864dap-106,0x1.db26c2p-3,-0x1.6c2742p-109,-0x1.6c2744p-109,1
121928,0x1.3f83dp-129,-0x1.fb9428p-1,-0x0p+0,-0x1.3cc16p-130,0
121938,0x1.4917cap-106,-0x1.70e83ap+0,-0x1.da3cbep-107,-0x1.da3cbap-107,1
121939,0x1.29e696p-107,0x1.9b5cfp+0,0x1.deb15cp-108,0x1.deb158p-108,1
