worker,t0,t1,bytes
cpu,27623.866378,27623.867334,22020096
cpu,27623.867334,27623.868311,22020096
cpu,27623.868311,27623.869269,22020096
cpu,27623.869269,27623.870240,22020096
cpu,27623.870240,27623.871192,22020096
cpu,27623.871192,27623.872165,22020096
cpu,27623.872165,27623.873124,22020096
cpu,27623.873124,27623.874085,22020096
cpu,27623.874085,27623.875039,22020096
cpu,27623.875039,27623.875996,22020096
cpu,27623.875996,27623.876972,22020096
cpu,27623.876972,27623.877924,22020096
cpu,27623.877924,27623.878877,22020096
cpu,27623.878878,27623.879835,22020096
cpu,27623.879836,27623.880829,22020096
cpu,27623.880829,27623.881783,22020096
cpu,27623.881783,27623.882741,22020096
cpu,27623.882741,27623.883698,22020096
cpu,27623.883698,27623.884666,22020096
cpu,27623.884666,27623.885622,22020096
cpu,27623.885622,27623.886582,22020096
cpu,27623.886583,27623.887538,22020096
cpu,27623.887538,27623.888507,22020096
cpu,27623.888508,27623.889466,22020096
cpu,27623.889466,27623.890443,22020096
cpu,27623.890443,27623.891395,22020096
cpu,27623.891396,27623.892364,22020096
cpu,27623.892364,27623.893321,22020096
cpu,27623.893321,27623.894334,22020096
cpu,27623.894334,27623.895321,22020096
cpu,27623.895321,27623.896333,22020096
cpu,27623.896333,27623.897323,22020096
cpu,27623.897323,27623.898293,22020096
cpu,27623.898293,27623.899247,22020096
cpu,27623.899247,27623.900226,22020096
cpu,27623.900226,27623.901194,22020096
cpu,27623.901194,27623.902155,22020096
cpu,27623.902156,27623.903108,22020096
cpu,27623.903109,27623.904086,22020096
cpu,27623.904087,27623.905048,22020096
cpu,27623.905048,27623.906016,22020096
cpu,27623.906016,27623.906982,22020096
cpu,27623.906982,27623.907937,22020096
cpu,27623.907938,27623.908910,22020096
cpu,27623.908910,27623.909877,22020096
cpu,27623.909878,27623.910855,22020096
cpu,27623.910855,27623.911811,22020096
cpu,27623.911812,27623.912779,22020096
cpu,27623.912779,27623.913733,22020096
cpu,27623.913734,27623.914695,22020096
cpu,27623.914695,27623.915649,22020096
cpu,27623.915649,27623.916623,22020096
cpu,27623.916623,27623.917579,22020096
cpu,27623.917579,27623.918533,22020096
cpu,27623.918533,27623.919491,22020096
cpu,27623.919491,27623.920476,22020096
cpu,27623.920476,27623.921429,22020096
cpu,27623.921429,27623.922385,22020096
cpu,27623.922385,27623.923341,22020096
cpu,27623.923341,27623.924310,22020096
