repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
1,buffered,seq,1024,8,6021971968,2.0241,2975.18,2837.4,341.0,103097.8,0,0,nan,62.1,67.2,qmx-1-0
1,buffered,seq,2048,1,3445620736,2.0010,1721.95,821.1,431.1,26023.6,0,0,nan,62.5,62.5,qmx-1-0
1,buffered,seq,2048,2,5217714176,2.0224,2579.94,1230.2,514.0,31504.9,0,0,nan,61.4,66.0,qmx-1-0
1,buffered,seq,2048,4,5834276864,2.0069,2907.17,1386.2,535.8,57857.1,0,0,nan,61.4,66.1,cpu-1-0-1
1,buffered,seq,2048,8,6090129408,2.0139,3024.04,1442.0,750.0,147103.4,0,0,nan,63.3,66.4,qmx-1-0
1,buffered,seq,4096,1,3485466624,2.0065,1737.13,414.2,978.5,25963.9,0,0,nan,63.3,62.9,qmx-1-0
1,buffered,seq,4096,2,5133828096,2.0141,2548.95,607.7,1073.8,40696.0,0,0,nan,61.4,67.2,qmx-1-0
1,buffered,seq,4096,4,5846859776,2.0182,2897.08,690.7,1336.1,73150.1,0,0,nan,61.7,67.9,qmx-1-0
1,buffered,seq,4096,8,6136266752,2.0157,3044.22,725.8,1842.5,190878.7,0,0,nan,62.5,65.6,qmx-1-0
2,direct,rand,4,1,96567296,2.0001,48.28,11787.1,82.8,136.0,0,0,nan,62.9,58.7,qmx-1-1
2,direct,rand,4,2,199745536,2.0002,99.86,24380.9,78.9,140.3,0,0,nan,58.3,58.7,qmx-1-0
2,direct,rand,4,4,385835008,2.0003,192.89,47091.5,79.3,160.9,0,0,nan,58.3,59.8,qmx-1-0
2,direct,rand,4,8,692658176,2.0004,346.26,84535.8,85.1,204.7,0,0,nan,59.0,61.7,qmx-1-0
2,direct,rand,8,1,179511296,2.0002,89.75,10955.6,88.4,140.3,0,0,nan,59.4,57.1,qmx-1-0
2,direct,rand,8,2,308723712,2.0002,154.34,18840.9,90.1,378.0,0,0,nan,56.7,59.0,qmx-1-0
2,direct,rand,8,4,613376000,2.0003,306.65,37432.5,93.4,223.1,0,0,nan,57.9,58.7,qmx-1-1
2,direct,rand,8,8,928694272,2.0004,464.25,56670.7,129.0,331.5,0,0,nan,57.9,59.4,qmx-1-1
2,direct,rand,16,1,317440000,2.0002,158.70,9686.5,99.7,157.8,0,0,nan,57.9,55.9,pm8550_tz
2,direct,rand,16,2,651558912,2.0002,325.74,19881.7,95.3,175.9,0,0,nan,56.1,56.7,qmx-1-0
2,direct,rand,16,4,1119289344,2.0003,559.57,34153.5,103.5,234.2,0,0,nan,56.3,57.9,qmx-1-0
2,direct,rand,16,8,1605730304,2.0004,802.69,48992.6,149.8,371.0,0,0,nan,56.7,58.7,qmx-1-1
