worker,t0,t1,bytes
cpu,27458.768932,27458.769888,22020096
cpu,27458.769888,27458.770844,22020096
cpu,27458.770844,27458.771801,22020096
cpu,27458.771801,27458.772769,22020096
cpu,27458.772769,27458.773718,22020096
cpu,27458.773719,27458.774689,22020096
cpu,27458.774689,27458.775642,22020096
cpu,27458.775642,27458.776615,22020096
cpu,27458.776615,27458.777566,22020096
cpu,27458.777566,27458.778525,22020096
cpu,27458.778525,27458.779482,22020096
cpu,27458.779482,27458.780481,22020096
cpu,27458.780482,27458.781439,22020096
cpu,27458.781439,27458.782396,22020096
cpu,27458.782396,27458.783353,22020096
cpu,27458.783353,27458.784327,22020096
cpu,27458.784327,27458.785306,22020096
cpu,27458.785306,27458.786266,22020096
cpu,27458.786266,27458.787216,22020096
cpu,27458.787216,27458.788191,22020096
cpu,27458.788191,27458.789142,22020096
cpu,27458.789142,27458.790105,22020096
cpu,27458.790106,27458.791063,22020096
cpu,27458.791063,27458.792038,22020096
cpu,27458.792038,27458.793025,22020096
cpu,27458.793025,27458.794035,22020096
cpu,27458.794035,27458.795021,22020096
cpu,27458.795021,27458.796019,22020096
cpu,27458.796019,27458.797004,22020096
cpu,27458.797004,27458.797958,22020096
cpu,27458.797958,27458.798919,22020096
cpu,27458.798919,27458.799878,22020096
cpu,27458.799878,27458.800854,22020096
cpu,27458.800854,27458.801806,22020096
cpu,27458.801806,27458.802774,22020096
cpu,27458.802774,27458.803738,22020096
cpu,27458.803738,27458.804709,22020096
cpu,27458.804709,27458.805675,22020096
cpu,27458.805675,27458.806630,22020096
cpu,27458.806630,27458.807583,22020096
cpu,27458.807583,27458.808556,22020096
cpu,27458.808556,27458.809522,22020096
cpu,27458.809522,27458.810482,22020096
cpu,27458.810482,27458.811432,22020096
cpu,27458.811433,27458.812420,22020096
cpu,27458.812420,27458.813376,22020096
cpu,27458.813384,27458.814334,22020096
cpu,27458.814334,27458.815307,22020096
cpu,27458.815307,27458.816278,22020096
cpu,27458.816278,27458.817235,22020096
cpu,27458.817236,27458.818189,22020096
cpu,27458.818189,27458.819145,22020096
cpu,27458.819145,27458.820114,22020096
cpu,27458.820114,27458.821067,22020096
cpu,27458.821067,27458.822023,22020096
cpu,27458.822023,27458.822988,22020096
cpu,27458.822988,27458.823950,22020096
cpu,27458.823950,27458.824923,22020096
cpu,27458.824924,27458.825885,22020096
cpu,27458.825885,27458.826837,22020096
cpu,27458.826837,27458.827793,22020096
cpu,27458.827794,27458.828772,22020096
cpu,27458.828773,27458.829726,22020096
cpu,27458.829726,27458.830682,22020096
cpu,27458.830682,27458.831637,22020096
cpu,27458.831637,27458.832621,22020096
cpu,27458.832622,27458.833592,22020096
cpu,27458.833592,27458.834552,22020096
cpu,27458.834552,27458.835540,22020096
cpu,27458.835540,27458.836512,22020096
cpu,27458.836512,27458.837470,22020096
cpu,27458.837471,27458.838427,22020096
cpu,27458.838427,27458.839415,22020096
cpu,27458.839415,27458.840426,22020096
cpu,27458.840427,27458.841432,22020096
cpu,27458.841432,27458.842411,22020096
cpu,27458.842412,27458.843389,22020096
cpu,27458.843389,27458.844370,22020096
cpu,27458.844370,27458.845355,22020096
cpu,27458.845355,27458.846320,22020096
cpu,27458.846320,27458.847276,22020096
cpu,27458.847276,27458.848243,22020096
cpu,27458.848243,27458.849202,22020096
cpu,27458.849203,27458.850158,22020096
cpu,27458.850158,27458.851121,22020096
cpu,27458.851121,27458.852090,22020096
cpu,27458.852090,27458.853047,22020096
cpu,27458.853047,27458.854007,22020096
cpu,27458.854007,27458.854967,22020096
cpu,27458.854967,27458.855927,22020096
cpu,27458.855928,27458.856900,22020096
cpu,27458.856900,27458.857854,22020096
cpu,27458.857854,27458.858800,22020096
cpu,27458.858800,27458.859755,22020096
cpu,27458.859755,27458.860744,22020096
cpu,27458.860745,27458.861705,22020096
cpu,27458.861706,27458.862661,22020096
cpu,27458.862662,27458.863614,22020096
cpu,27458.863614,27458.864593,22020096
cpu,27458.864593,27458.865560,22020096
cpu,27458.865560,27458.866511,22020096
cpu,27458.866511,27458.867465,22020096
cpu,27458.867465,27458.868441,22020096
cpu,27458.868441,27458.869397,22020096
cpu,27458.869397,27458.870357,22020096
cpu,27458.870357,27458.871317,22020096
cpu,27458.871317,27458.872283,22020096
cpu,27458.872283,27458.873237,22020096
cpu,27458.873237,27458.874195,22020096
cpu,27458.874195,27458.875161,22020096
cpu,27458.875161,27458.876135,22020096
cpu,27458.876135,27458.877087,22020096
cpu,27458.877087,27458.878047,22020096
cpu,27458.878047,27458.879014,22020096
cpu,27458.879014,27458.879967,22020096
cpu,27458.879968,27458.880949,22020096
cpu,27458.880949,27458.881908,22020096
cpu,27458.881908,27458.882861,22020096
cpu,27458.882861,27458.883813,22020096
cpu,27458.883813,27458.884795,22020096
cpu,27458.884795,27458.885766,22020096
cpu,27458.885766,27458.886751,22020096
cpu,27458.886751,27458.887772,22020096
cpu,27458.887772,27458.888764,22020096
cpu,27458.888764,27458.889740,22020096
cpu,27458.889740,27458.890704,22020096
cpu,27458.890704,27458.891664,22020096
cpu,27458.891664,27458.892636,22020096
cpu,27458.892636,27458.893598,22020096
cpu,27458.893648,27458.894602,22020096
cpu,27458.894603,27458.895582,22020096
cpu,27458.895583,27458.896558,22020096
cpu,27458.896558,27458.897510,22020096
cpu,27458.897510,27458.898468,22020096
cpu,27458.898468,27458.899420,22020096
cpu,27458.899421,27458.900391,22020096
cpu,27458.900391,27458.901347,22020096
cpu,27458.901347,27458.902304,22020096
cpu,27458.902304,27458.903265,22020096
cpu,27458.903265,27458.904237,22020096
cpu,27458.904237,27458.905197,22020096
cpu,27458.905197,27458.906150,22020096
cpu,27458.906150,27458.907100,22020096
cpu,27458.907100,27458.908078,22020096
cpu,27458.908078,27458.909038,22020096
cpu,27458.909039,27458.909997,22020096
cpu,27458.909997,27458.910950,22020096
cpu,27458.910950,27458.911907,22020096
cpu,27458.911907,27458.912881,22020096
cpu,27458.912881,27458.913835,22020096
cpu,27458.913835,27458.914791,22020096
cpu,27458.914791,27458.915763,22020096
cpu,27458.915763,27458.916784,22020096
cpu,27458.916784,27458.917736,22020096
cpu,27458.917737,27458.918696,22020096
cpu,27458.918696,27458.919653,22020096
cpu,27458.919653,27458.920627,22020096
cpu,27458.920627,27458.921583,22020096
cpu,27458.921583,27458.922541,22020096
cpu,27458.922542,27458.923497,22020096
cpu,27458.923497,27458.924482,22020096
cpu,27458.924482,27458.925442,22020096
cpu,27458.925442,27458.926410,22020096
cpu,27458.926411,27458.927370,22020096
cpu,27458.927370,27458.928341,22020096
cpu,27458.928341,27458.929304,22020096
cpu,27458.929304,27458.930262,22020096
cpu,27458.930262,27458.931214,22020096
cpu,27458.931214,27458.932200,22020096
cpu,27458.932200,27458.933209,22020096
cpu,27458.933209,27458.934182,22020096
cpu,27458.934182,27458.935155,22020096
cpu,27458.935155,27458.936173,22020096
cpu,27458.936173,27458.937207,22020096
cpu,27458.937207,27458.938157,22020096
cpu,27458.938158,27458.939118,22020096
cpu,27458.939119,27458.940086,22020096
cpu,27458.940087,27458.941062,22020096
cpu,27458.941062,27458.942021,22020096
cpu,27458.942021,27458.942972,22020096
cpu,27458.942973,27458.943930,22020096
cpu,27458.943930,27458.944897,22020096
cpu,27458.944897,27458.945868,22020096
cpu,27458.945868,27458.946818,22020096
cpu,27458.946818,27458.947776,22020096
cpu,27458.947776,27458.948755,22020096
cpu,27458.948755,27458.949705,22020096
cpu,27458.949706,27458.950660,22020096
cpu,27458.950660,27458.951610,22020096
cpu,27458.951611,27458.952586,22020096
cpu,27458.952586,27458.953538,22020096
cpu,27458.953538,27458.954496,22020096
cpu,27458.954496,27458.955450,22020096
cpu,27458.955451,27458.956446,22020096
cpu,27458.956446,27458.957402,22020096
cpu,27458.957402,27458.958352,22020096
cpu,27458.958352,27458.959310,22020096
cpu,27458.959310,27458.960278,22020096
cpu,27458.960278,27458.961240,22020096
cpu,27458.961240,27458.962197,22020096
cpu,27458.962197,27458.963152,22020096
cpu,27458.963152,27458.964124,22020096
cpu,27458.964124,27458.965074,22020096
cpu,27458.965074,27458.966043,22020096
cpu,27458.966043,27458.966999,22020096
cpu,27458.967000,27458.967962,22020096
cpu,27458.967963,27458.968931,22020096
cpu,27458.968931,27458.969890,22020096
cpu,27458.969890,27458.970846,22020096
cpu,27458.970846,27458.971795,22020096
cpu,27458.971795,27458.972778,22020096
cpu,27458.972778,27458.973738,22020096
cpu,27458.973739,27458.974692,22020096
cpu,27458.974692,27458.975647,22020096
cpu,27458.975647,27458.976621,22020096
cpu,27458.976622,27458.977576,22020096
