t,pswpin,pswpout,pgmajfault,memavail_kb,swapfree_kb,bmoe_pid,bmoe_minflt,bmoe_majflt,bmoe_cpu_ticks,thermal_status,cap0,cap6
1789633539,194030332,290810212,202237280,5770004,9522496,,,,,1,1900800,1651200
1789633544,194030686,290810212,202237663,5777812,9523784,,,,,1,1900800,1651200
1789633549,194031290,290824301,202238583,5881620,9469512,16698,178544,136,483,1,1900800,1651200
1789633554,194033878,290904398,202242565,6111944,9156704,16698,270332,136,945,1,1900800,1651200
1789633559,194042598,291027213,202255232,6359544,8582504,16698,352255,3694,2714,1,1900800,1651200
1789633564,194065244,291107949,202282086,6635644,8254704,16698,369034,7752,4984,1,1900800,1651200
1789633570,194079683,291192963,202346534,2418020,8159804,16698,1402005,62016,6237,1,1900800,1651200
1789633575,194157471,291395301,202424849,1569992,7793204,16698,2176712,119241,7652,1,1900800,1651200
1789633580,194282068,291460950,202550085,1553116,8142524,16698,3312572,225195,9865,1,1900800,1651200
1789633585,194286676,291467688,202555261,1532440,8185384,16698,4561148,225753,12150,1,1900800,1651200
1789633590,194303639,291478927,202573991,1505544,8214636,16698,5473761,226305,14485,1,1900800,1651200
1789633595,194306812,291483052,202577877,1495492,8213636,16698,6651846,227027,16793,1,1900800,1651200
1789633600,194310548,291483052,202582325,1476540,8233172,16698,7945197,227644,19066,1,1900800,1651200
1789633605,194322013,291490938,202594458,1470600,8247516,16698,9128446,228262,21354,2,1747200,1651200
1789633610,194324563,291490938,202597500,1451024,8259864,16698,10464910,228776,23598,2,1747200,1651200
1789633615,194333832,291494516,202607438,1453908,8283312,16698,11689438,229334,25845,2,1747200,1651200
1789633621,194343689,291496452,202617972,1404704,8313272,16698,12857614,229885,28121,2,1747200,1651200
1789633626,194345898,291496452,202620802,1392224,8324792,16698,14059716,230819,30428,2,1747200,1651200
1789633631,194348252,291496452,202623854,1370840,8336836,16698,15128613,231509,32786,2,1747200,1651200
1789633636,194356805,291496452,202632602,6483144,8729264,,,,,2,1747200,1651200
1789633641,194357185,291496452,202632989,6479692,8731092,,,,,2,1747200,1651200
1789633646,194389073,291496452,202664956,6418116,8929196,,,,,2,1747200,1651200
1789633651,194390979,291496452,202666889,6409676,8937412,,,,,2,1747200,1651200
1789633657,194391487,291496452,202667403,6404852,8939520,,,,,2,1747200,1651200
